,model_index,Model,Dataset,R2score,MAE
0,0,Raw drop,Training,0.7645639013920853,0.08553619126187467
1,0,Raw drop,Testing,0.7643263550497271,0.08603133419219976
0,1,Cluster locations,Training,0.7645991046487686,0.0854937885896152
1,1,Cluster locations,Testing,0.7642663040698476,0.08601020110662982
0,2,Distant center,Training,0.7739289481548152,0.08415345004802623
1,2,Distant center,Testing,0.7761356440080234,0.08434711211913548
0,3,Polynomial coefficients,Training,0.7865955969870813,0.08064950366923593
1,3,Polynomial coefficients,Testing,0.7874574855978878,0.08119087779679499
